Name,Original Price,Discount %,Product URL,Image URL
Samba OG Lace-Up Sneakers,10999,N/A,https://www.ajio.com/adidas-originals-samba-og-lace-up-sneakers/p/410164561_black?,https://assets.ajio.com/medias/sys_master/root/20220420/jgzd/625f1a0eaeb26921af2bdf94/adidas_originals_black_samba_og_lace-up_sneakers.jpg
Men Tiger Runner Lace-Up Sneakers,3919,44%,https://www.ajio.com/asics-men-tiger-runner-lace-up-sneakers/p/469659085_brown?,https://assets.ajio.com/medias/sys_master/root/20250514/vfPr/68248d8055340d4b4f343f98/asics_brown_men_tiger_runner_lace-up_sneakers.jpg
Downshifter 13 Lace-Up Running Shoes,4295,N/A,https://www.ajio.com/nike-downshifter-13-lace-up-running-shoes/p/469759339_white?,https://assets.ajio.com/medias/sys_master/root1/20250716/aATt/687795315d4cb41380174a82/nike_white_downshifter_13_lace-up_running_shoes.jpg
Men Sports Shoes with Synthetic Upper,3974,47%,https://www.ajio.com/asics-men-sports-shoes-with-synthetic-upper-----/p/701601080_black?,https://assets.ajio.com/medias/sys_master/root/20250521/XBCh/682cf06c55340d4b4f48a8ec/asics_black_men_sports_shoes_with_synthetic_upper.jpg
Men Tiger Runner Lace-Up Sneakers,3989,43%,https://www.ajio.com/asics-men-tiger-runner-lace-up-sneakers/p/469659083_coolgrey?,https://assets.ajio.com/medias/sys_master/root/20250514/0L7G/682490547a6cd4182f2f9bfc/asics_white_men_tiger_runner_lace-up_sneakers.jpg
Men Sports Shoes with Lace Fastening,1566,82%,https://www.ajio.com/red-tape-men-sports-shoes-with-lace-fastening-/p/701679643_black?,https://assets.ajio.com/medias/sys_master/root/20250605/SQR1/684179c27a6cd4182f85813f/red_tape_black_men_sports_shoes_with_lace_fastening.jpg
Sneakers with PU upper,1278,82%,https://www.ajio.com/red-tape-sneakers-with-pu-upper/p/700765642_white?,https://assets.ajio.com/medias/sys_master/root/20241117/gkIO/673a02ea0f47f80c878f965e/red_tape_white_blue_sneakers_with_pu_upper.jpg
Men Tiger Runner II Lace-Up Sneaker,2940,58%,https://www.ajio.com/asics-men-tiger-runner-ii-lace-up-sneaker/p/469659079_white?,https://assets.ajio.com/medias/sys_master/root/20250401/exIY/67ebeedf55340d4b4fa493d3/asics_beige_men_tiger_runner_ii_lace-up_sneaker.jpg
Men Panelled Athleisure Shoes,2484,73%,https://www.ajio.com/red-tape-men-panelled-athleisure-shoes/p/700729814_offwhite?,https://assets.ajio.com/medias/sys_master/root/20241112/zUQ9/673379f1f9b8ef490b17eb40/red_tape_off_white_olive_men_panelled_athleisure_shoes.jpg
Men Round-Toe Running Sports Shoes,1596,81%,https://www.ajio.com/red-tape-men-round-toe-running-sports-shoes/p/466829259_blue?,https://assets.ajio.com/medias/sys_master/root/20241014/F51D/670ceabff9b8ef490bb76e4d/red_tape_blue_men_round-toe_running_sports_shoes.jpg
Men Jolt 4 Running Shoes,2564,43%,https://www.ajio.com/asics-men-jolt-4-running-shoes/p/469659066_navy?,https://assets.ajio.com/medias/sys_master/root/20250521/nlNM/682dad437a6cd4182f4612d6/asics_navy_blue_men_jolt_4_running_shoes.jpg
Men Court Shot Lace-Up Tennis Shoes,5995,N/A,https://www.ajio.com/nike-men-court-shot-lace-up-tennis-shoes/p/469759386_white?,https://assets.ajio.com/medias/sys_master/root/20250620/bf5y/6855590455340d4b4fca0fb9/nike_white_men_court_shot_lace-up_tennis_shoes.jpg
Downshift 13 Running Shoes,4295,N/A,https://www.ajio.com/nike-downshift-13-running-shoes/p/469759336_blackgrey?,https://assets.ajio.com/medias/sys_master/root/20250714/HnbQ/6874e0dee590ff066e4ff0ee/nike_grey_downshift_13_running_shoes.jpg
Men Japan S ST Lace-Up Sports Shoes,4274,43%,https://www.ajio.com/asics-men-japan-s-st-lace-up-sports-shoes/p/469745499_black?,https://assets.ajio.com/medias/sys_master/root/20250618/n70h/6852a3ea55340d4b4fbf0101/asics_black_men_japan_s_st_lace-up_sports_shoes.jpg
Full Force Lo Basketball Shoes,4502,47%,https://www.ajio.com/nike-full-force-lo-basketball-shoes/p/469647544_white?,https://assets.ajio.com/medias/sys_master/root/20240722/iJFQ/669e71291d763220fa0f1d87/nike_white_full_force_lo_basketball_shoes.jpg
Men Round-Toe Lace-Up Shoes,1188,82%,https://www.ajio.com/red-tape-men-round-toe-lace-up-shoes/p/701088104_white?,https://assets.ajio.com/medias/sys_master/root/20250207/Drbq/67a59c882960820c49693795/red_tape_white_men_round-toe_lace-up_shoes.jpg
Men Gel-Cover Low-Top Lace-Up Running Shoes,3419,43%,https://www.ajio.com/asics-men-gel-cover-low-top-lace-up-running-shoes/p/469643766_white?,https://assets.ajio.com/medias/sys_master/root/20250203/HEqx/67a0cf75bc78b543a9189629/asics_white_%26_blue_men_gel-cover_low-top_lace-up_running_shoes.jpg
Men Regular Fit Lace-Up Casual Shoes,1309,83%,https://www.ajio.com/red-tape-men-regular-fit-lace-up-casual-shoes-/p/701679506_grey?,https://assets.ajio.com/medias/sys_master/root/20250605/qH7i/6840eaaf55340d4b4f8687e1/red_tape_grey_blue_men_regular_fit_lace-up_casual_shoes.jpg
Downshifter 13 Running Shoes,4295,N/A,https://www.ajio.com/nike-downshifter-13-running-shoes/p/469581864_black?,https://assets.ajio.com/medias/sys_master/root/20240220/N1CB/65d4cb1d05ac7d77bb6a5f48/nike_black_downshifter_13_running_shoes.jpg
Men GLIDERIDE 4 Lace-up Running Shoes,11519,36%,https://www.ajio.com/asics-men-glideride-4-lace-up-running-shoes/p/700297576_blue?,https://assets.ajio.com/medias/sys_master/root/20240820/V2Yg/66c39bfc6f60443f3114edf6/asics_blue_%26_green_men_glideride_4_lace-up_running_shoes.jpg
410 Low-Top Lace-Up Running Shoes,5219,42%,https://www.ajio.com/new-balance-410-low-top-lace-up-running-shoes/p/469759988_white?,https://assets.ajio.com/medias/sys_master/root1/20250725/3b81/68836eeb3d468c61ab20c8ba/new_balance_white_410_low-top_lace-up_running_shoes.jpg
Defy Low-Top Running Shoes,2836,29%,https://www.ajio.com/nike-defy-low-top-running-shoes/p/469734590_black?,https://assets.ajio.com/medias/sys_master/root/20250602/VrgP/683d94df55340d4b4f7bd092/nike_black_defy_low-top_running_shoes.jpg
Men GEL-KINSEI MAX Lace-Up Running Shoes,11519,36%,https://www.ajio.com/asics-men-gel-kinsei-max-lace-up-running-shoes/p/700214629_purple?,https://assets.ajio.com/medias/sys_master/root/20240722/Siz5/669e0b3f6f60443f319716d4/asics_purple_men_gel-kinsei_max_lace-up_running_shoes.jpg
