Name,Original Price,Discount %,Product URL,Image URL
Relaxed Fit Swiss-Dot Peplum Top with Camisole,1350,70%,https://www.ajio.com/label-ritu-kumar-relaxed-fit-swiss-dot-peplum-top-with-camisole/p/410333507_lilac?,https://assets.ajio.com/medias/sys_master/root/20220916/JXTc/6324602cf997dd1f8d048f35/label_ritu_kumar_lilac_relaxed_fit_swiss-dot_peplum_top_with_camisole.jpg
Women Typographic Print Boxy Fit Top,152,49%,https://www.ajio.com/teamspirit-women-typographic-print-boxy-fit-top/p/443061519_mint?,https://assets.ajio.com/medias/sys_master/root/20250529/Sohc/683873377a6cd4182f69c8e7/teamspirit_mint_green_women_typographic_print_boxy_fit_top.jpg
Women Regular Fit Top,228,71%,https://www.ajio.com/slenor-x-ag-women-regular-fit-top/p/701880795_blue?,https://assets.ajio.com/medias/sys_master/root/20250707/CD1l/686bd1bae590ff066e2c345a/slenor_x_ag_blue_women_regular_fit_top.jpg
Floral Print Top with Inner,2700,50%,https://www.ajio.com/label-ritu-kumar-floral-print-top-with-inner/p/410445612_ecru?,https://assets.ajio.com/medias/sys_master/root/20240301/Q4ki/65e1c10e16fd2c6e6a33d238/label_ritu_kumar_red_%26_beige_floral_print_top_with_inner.jpg
Women Slim Fit Top,230,77%,https://www.ajio.com/maheshvi-women-slim-fit-top/p/701813742_black?,https://assets.ajio.com/medias/sys_master/root/20250625/r7vh/685b07400f920c69cc52a0e4/maheshvi_black_women_slim_fit_top.jpg
Women Schiffli Embroidered Regular Fit Top,486,73%,https://www.ajio.com/house-of-mira-women-schiffli-embroidered-regular-fit-top/p/700180538_peach?,https://assets.ajio.com/medias/sys_master/root/20240710/i683/668df9f16f60443f31cd8078/house_of_mira_peach_women_schiffli_embroidered_regular_fit_top.jpg
Women Floral Regular Fit Top,290,71%,https://www.ajio.com/nantan-women-floral-regular-fit-top/p/701321673_mustard?,https://assets.ajio.com/medias/sys_master/root/20250310/M3Ea/67ceee4859f83539802bd103/nantan_mustard_women_floral_regular_fit_top.jpg
Printed Top with Camisole,210,70%,https://www.ajio.com/fig-printed-top-with-camisole/p/443004268_ltpink?,https://assets.ajio.com/medias/sys_master/root/20221103/lyf3/63639a2faeb269659c6ddc37/fig_pink_printed_top_with_camisole.jpg
Women Embroidered Relaxed Fit Tunic,600,76%,https://www.ajio.com/svaraa-women-embroidered-relaxed-fit-tunic/p/701809569_offwhite?,https://assets.ajio.com/medias/sys_master/root/20250624/XICk/685a8fc72b1ad9265b63e6e1/svaraa_off_white_women_embroidered_relaxed_fit_tunic.jpg
Embroidered Fitted Top,1380,70%,https://www.ajio.com/label-ritu-kumar-embroidered-fitted-top/p/410319456_navy?,https://assets.ajio.com/medias/sys_master/root/20220910/RHQ2/631ba2dbaeb269dbb3801e24/label_ritu_kumar_navy_blue_embroidered_fitted_top.jpg
Women Regular Fit Top,146,82%,https://www.ajio.com/slenor-x-ag-women-regular-fit-top/p/701880695_white?,https://assets.ajio.com/medias/sys_master/root/20250707/2Y08/686bc34de590ff066e2b1524/slenor_x_ag_white_women_regular_fit_top.jpg
Women Ribbed Fitted Top,152,49%,https://www.ajio.com/teamspirit-women-ribbed-fitted-top/p/443061135_jetblack?,https://assets.ajio.com/medias/sys_master/root/20250219/h2dQ/67b5d9dd2960820c49941a39/teamspirit_black_women_ribbed_fitted_top.jpg
Women Floral Regular Fit Top,N/A,N/A,N/A,N/A
