Name,Original Price,Discount %,Product URL,Image URL
Men Knitted Lace-Up Sneakers,1920,52%,https://www.ajio.com/neemans-men-knitted-lace-up-sneakers-/p/700149490_green?,https://assets.ajio.com/medias/sys_master/root/20250221/JQVV/67b8064e2960820c499a687c/neemans_green_men_knitted_lace-up_sneakers.jpg
Men Round-Toe Running Sports Shoes,1596,81%,https://www.ajio.com/red-tape-men-round-toe-running-sports-shoes/p/466829259_blue?,https://assets.ajio.com/medias/sys_master/root/20241014/F51D/670ceabff9b8ef490bb76e4d/red_tape_blue_men_round-toe_running_sports_shoes.jpg
Men Court Shot Lace-Up Tennis Shoes,5995,N/A,https://www.ajio.com/nike-men-court-shot-lace-up-tennis-shoes/p/469759386_white?,https://assets.ajio.com/medias/sys_master/root/20250620/bf5y/6855590455340d4b4fca0fb9/nike_white_men_court_shot_lace-up_tennis_shoes.jpg
Men Colourblock Lace-Up Sneakers,1306,61%,https://www.ajio.com/neemans-men-colourblock-lace-up-sneakers/p/700195171_tan?,https://assets.ajio.com/medias/sys_master/root/20250221/ZXU9/67b80d102960820c499a862b/neemans_tan_men_colourblock_lace-up_sneakers.jpg
Downshift 13 Running Shoes,4295,N/A,https://www.ajio.com/nike-downshift-13-running-shoes/p/469759336_blackgrey?,https://assets.ajio.com/medias/sys_master/root/20250714/HnbQ/6874e0dee590ff066e4ff0ee/nike_grey_downshift_13_running_shoes.jpg
Full Force Lo Basketball Shoes,4502,47%,https://www.ajio.com/nike-full-force-lo-basketball-shoes/p/469647544_white?,https://assets.ajio.com/medias/sys_master/root/20240722/iJFQ/669e71291d763220fa0f1d87/nike_white_full_force_lo_basketball_shoes.jpg
Men Low-Top Lace-Up Sneakers,925,75%,https://www.ajio.com/neemans-men-low-top-lace-up-sneakers-/p/700314136_white?,https://assets.ajio.com/medias/sys_master/root/20250328/7rEb/67e67d4955340d4b4f970007/neemans_white_men_low-top_lace-up_sneakers.jpg
Men Coast Lace-Up Running Shoes,1250,75%,https://www.ajio.com/new-balance-men-coast-lace-up-running-shoes/p/469683028_blue?,https://assets.ajio.com/medias/sys_master/root/20250123/sYlH/6792451b0431850e0dbc2519/new_balance_blue_men_coast_lace-up_running_shoes.jpg
Downshifter 13 Running Shoes,4295,N/A,https://www.ajio.com/nike-downshifter-13-running-shoes/p/469581864_black?,https://assets.ajio.com/medias/sys_master/root/20240220/N1CB/65d4cb1d05ac7d77bb6a5f48/nike_black_downshifter_13_running_shoes.jpg
Women Lace-Up Sneakers Mid Tops,3188,15%,https://www.ajio.com/sole-mates-by-palak-women-lace-up-sneakers-mid-tops/p/701701377_copper?,https://assets.ajio.com/medias/sys_master/root/20250609/LQMv/68463e387a6cd4182f91ab95/sole_mates_by_palak_mettalic_copper_women_lace-up_sneakers_mid_tops.jpg
410 Low-Top Lace-Up Running Shoes,5219,42%,https://www.ajio.com/new-balance-410-low-top-lace-up-running-shoes/p/469759988_white?,https://assets.ajio.com/medias/sys_master/root1/20250725/3b81/68836eeb3d468c61ab20c8ba/new_balance_white_410_low-top_lace-up_running_shoes.jpg
Defy Low-Top Running Shoes,2836,29%,https://www.ajio.com/nike-defy-low-top-running-shoes/p/469734590_black?,https://assets.ajio.com/medias/sys_master/root/20250602/VrgP/683d94df55340d4b4f7bd092/nike_black_defy_low-top_running_shoes.jpg
Women Embroidered Lace-Up Sneakers,3909,15%,https://www.ajio.com/sole-mates-by-palak-women-embroidered-lace-up-sneakers/p/701698485_gold?,https://assets.ajio.com/medias/sys_master/root/20250608/KHIm/6845a9777a6cd4182f8f3f28/sole_mates_by_palak_gold_women_embroidered_lace-up_sneakers.jpg
Men Low-Top Walking Shoes,1235,81%,https://www.ajio.com/red-tape-men-low-top-walking-shoes/p/700710511_black?,https://assets.ajio.com/medias/sys_master/root/20241107/IMIj/672c1652260f9c41e8c4af43/red_tape_black_men_low-top_walking_shoes.jpg
