Name,Original Price,Discount %,Product URL,Image URL
Infants Graphic Print Round-Neck T-Shirt,129,N/A,https://www.ajio.com/fashion-world-infants-graphic-print-round-neck-t-shirt/p/420503028_cream?,https://assets.ajio.com/medias/sys_master/root/20250612/mKFr/684ae64b7a6cd4182fa3d475/fashion_world_cream_infants_graphic_print_round-neck_t-shirt.jpg
Shein Ankle Length Elasticated Drawstring Waist Slim Fit Trouser,461,23%,https://www.ajio.com/shein-shein-ankle-length-elasticated-drawstring-waist-slim-fit-trouser/p/443319454_black?,https://assets.sheinindia.in/medias/shein_sys_master/root/20250317/ccQb/67d81bba2960820c49f38a41/shein_black_shein_ankle_length_elasticated_drawstring_waist_slim_fit_trouser.jpg
Women Slim Fit Boat-Neck Top,320,60%,https://www.ajio.com/buda-jeans-co-women-slim-fit-boat-neck-top/p/469734217_black?,https://assets.ajio.com/medias/sys_master/root1/20250721/HqaZ/687e42b35d4cb4138043e1b5/buda_jeans_co_black_women_slim_fit_boat-neck_top.jpg
Unisex School Logo Embroidered Shirt,699,N/A,https://www.ajio.com/nmajs-unisex-school-logo-embroidered-shirt/p/410478388_white?,https://assets.ajio.com/medias/sys_master/root/20250115/jufm/67879df1663dbe1c5fd99634/nmajs_white_unisex_school_logo_embroidered_shirt.jpg
Girls Striped Regular Fit Top,675,48%,https://www.ajio.com/u-s-polo-assn-girls-striped-regular-fit-top/p/469607973_multi?,https://assets.ajio.com/medias/sys_master/root/20240304/xMJn/65e5bb2a05ac7d77bb949458/u.s._polo_assn._white_girls_striped_regular_fit_top.jpg
Infants Graphic Print Round-Neck T-Shirt,129,N/A,https://www.ajio.com/fashion-world-infants-graphic-print-round-neck-t-shirt/p/420503032_yellow?,https://assets.ajio.com/medias/sys_master/root/20250612/JD1R/684ae8327a6cd4182fa3e215/fashion_world_yellow_infants_graphic_print_round-neck_t-shirt.jpg
Printed Rayon Tunic,549,21%,https://www.ajio.com/max-printed-rayon-tunic/p/465756745_green?,https://assets.ajio.com/medias/sys_master/root/20230628/61UY/649b8e4eeebac147fc1898e5/max_green_printed_rayon_tunic.jpg
Women Keyhole Round-Neck Relaxed Fit Top,719,10%,https://www.ajio.com/max-women-keyhole-round-neck-relaxed-fit-top/p/700556734_black?,https://assets.ajio.com/medias/sys_master/root/20241008/3RcR/67056136260f9c41e863068a/max_black_women_keyhole_round-neck_relaxed_fit_top.jpg
Women Embroidered Regular Fit Top,270,73%,https://www.ajio.com/palsiya-presents-women-embroidered-regular-fit-top/p/701407212_black?,https://assets.ajio.com/medias/sys_master/root/20250409/9UmV/67f64c2e7a6cd4182fb8a0e8/palsiya_presents_black_women_embroidered_regular_fit_top.jpg
Women Fitted Blouse Top,200,80%,https://www.ajio.com/maheshvi-women-fitted-blouse-top/p/701089024_black?,https://assets.ajio.com/medias/sys_master/root/20250125/LdRZ/6794e858663dbe1c5f0009eb/maheshvi_black_women_fitted_blouse_top.jpg
Women Embroidered Tube Crop Top,699,N/A,https://www.ajio.com/max-women-embroidered-tube-crop-top/p/701329902_beige?,https://assets.ajio.com/medias/sys_master/root/20250313/tpti/67d1e0f559f835398034dd0b/max_beige_women_embroidered_tube_crop_top.jpg
Women Ribbed Fitted Top,210,79%,https://www.ajio.com/maheshvi-women-ribbed-fitted-top/p/701767574_green?,https://assets.ajio.com/medias/sys_master/root/20250621/sAZK/685690d02b1ad9265b55dc9a/maheshvi_green_women_ribbed_fitted_top.jpg
Women Regular Fit Floral Print Top,444,73%,https://www.ajio.com/leia-women-regular-fit-floral-print-top/p/701600865_white?,https://assets.ajio.com/medias/sys_master/root/20250520/tk8d/682cbfba55340d4b4f465d3d/leia_off_white_women_regular_fit_floral_print_top.jpg
Stripes Stylised Fit Top,413,31%,https://www.ajio.com/max-stripes-stylised-fit-top/p/701264820_offwhite?,https://assets.ajio.com/medias/sys_master/root/20250226/I0Gd/67be151c59f8353980f6bd0b/max_ivory_stripes_stylised_fit_top.jpg
Women Printed Regular Fit Top,195,85%,https://www.ajio.com/leia-women-printed-regular-fit-top/p/701733041_red?,https://assets.ajio.com/medias/sys_master/root/20250613/XTf9/684b593a55340d4b4fa6e956/leia_red_women_printed_regular_fit_top.jpg
Women Floral Print Regular Fit Top,754,65%,https://www.ajio.com/quiero-women-floral-print-regular-fit-top/p/701383282_brown?,https://assets.ajio.com/medias/sys_master/root/20250327/AuOV/67e562507a6cd4182f8797fd/quiero_brown_women_floral_print_regular_fit_top.jpg
Typographic Print Crew-Neck Top,399,62%,https://www.ajio.com/li-l-tomatoes-typographic-print-crew-neck-top-/p/467164430_green?,https://assets.ajio.com/medias/sys_master/root/20240314/FUKx/65f2006005ac7d77bbb14364/li%27l_tomatoes_green_typographic_print_crew-neck_top.jpg
Women Regular Fit Square-Neck Top,210,79%,https://www.ajio.com/maheshvi-women-regular-fit-square-neck-top/p/701767574_coffee?,https://assets.ajio.com/medias/sys_master/root/20250618/6xV9/6852c70455340d4b4fbf6ea2/maheshvi_coffee_women_regular_fit_square-neck_top.jpg
Women Geometric Print Top,580,71%,https://www.ajio.com/fery-london-women-geometric-print-top/p/700955943_offwhite?,https://assets.ajio.com/medias/sys_master/root/20250305/AqgA/67c755fc2960820c49ce6623/fery_london_off_white_women_geometric_print_top.jpg
Typographic Print Crop Top,264,77%,https://www.ajio.com/li-l-tomatoes-typographic-print-crop-top/p/465833641_green?,https://assets.ajio.com/medias/sys_master/root/20240710/Jspn/668e3d3e6f60443f31d46a75/li%27l_tomatoes_green_typographic_print_crop_top.jpg
Women Printed Regular Fit Top,300,70%,https://www.ajio.com/bollyclues-women-printed-regular-fit-top/p/701499194_green?,https://assets.ajio.com/medias/sys_master/root1/20250728/4JVR/688724083d468c61ab25cc01/bollyclues_green_women_printed_regular_fit_top.jpg
Girls Pack of 2 Regular Fit Tunic,363,72%,https://www.ajio.com/dawinar-girls-pack-of-2-regular-fit-tunic/p/701752604_multi?,https://assets.ajio.com/medias/sys_master/root/20250616/jw8A/684f27837a6cd4182faf61d4/dawinar_black_girls_pack_of_2_regular_fit_tunic.jpg
Typographic Print Round-Neck Top,264,77%,https://www.ajio.com/li-l-tomatoes-typographic-print-round-neck-top/p/465833736_pink?,https://assets.ajio.com/medias/sys_master/root/20240716/15n6/66961d511d763220fabc3ae9/li%27l_tomatoes_pink_typographic_print_round-neck_top.jpg
Women Striped Fitted Top,203,49%,https://www.ajio.com/teamspirit-women-striped-fitted-top/p/443061822_ltpink?,https://assets.ajio.com/medias/sys_master/root/20250616/cMTj/685010f655340d4b4fb5a325/teamspirit_white_women_striped_fitted_top.jpg
Women Embroidery Relaxed Fit Shirt,625,75%,https://www.ajio.com/nyrika-women-embroidery-relaxed-fit-shirt-/p/701623433_offwhite?,https://assets.ajio.com/medias/sys_master/root/20250527/8dP4/6835f25555340d4b4f614758/nyrika_off_white_women_embroidery_relaxed_fit_shirt.jpg
Women Regular Fit Floral Top,382,73%,https://www.ajio.com/leia-women-regular-fit-floral-top/p/701588198_white?,https://assets.ajio.com/medias/sys_master/root/20250519/vsDZ/682b15e27a6cd4182f39bc1d/leia_white_women_regular_fit_floral_top.jpg
Infants All-Over Print Round-Neck T-Shirt,129,N/A,https://www.ajio.com/fashion-world-infants-all-over-print-round-neck-t-shirt/p/420503046_white?,https://assets.ajio.com/medias/sys_master/root/20250612/5Ode/684ae59b55340d4b4fa5ee5f/fashion_world_white_%26_yellow_infants_all-over_print_round-neck_t-shirt.jpg
Women Ribbed V-Neck Relaxed Fit Top,407,49%,https://www.ajio.com/fig-women-ribbed-v-neck-relaxed-fit-top/p/443061237_black?,https://assets.ajio.com/medias/sys_master/root/20241230/9qtD/67724c48c148fa1b3068a264/fig_black_women_ribbed_v-neck_relaxed_fit_top.jpg
Printed Top with Camisole,1450,50%,https://www.ajio.com/aarke-ritu-kumar-printed-top-with-camisole/p/410445504_green?,https://assets.ajio.com/medias/sys_master/root/20240504/2z4S/66364fd205ac7d77bb3f34f9/aarke_ritu_kumar_green_printed_top_with_camisole.jpg
Unisex Relaxed Fit Full-Sleeve Shirt,899,N/A,https://www.ajio.com/dhirubhai-ambani-int-school-unisex-relaxed-fit-full-sleeve-shirt/p/410479914_white?,
Women Floral Regular Fit Top,290,71%,https://www.ajio.com/nantan-women-floral-regular-fit-top/p/701321642_pink?,
Stripes Stylised Fit Top,413,31%,https://www.ajio.com/max-stripes-stylised-fit-top/p/701264820_offwhite?,
Women Relaxed Fit Top with Balloon Sleeves,407,49%,https://www.ajio.com/fig-women-relaxed-fit-top-with-balloon-sleeves/p/443066084_pink?,
Infants Graphic Print Round-Neck T-Shirt,129,N/A,https://www.ajio.com/fashion-world-infants-graphic-print-round-neck-t-shirt/p/420503030_white?,
Typographic Print Round-Neck Top,437,62%,https://www.ajio.com/li-l-tomatoes-typographic-print-round-neck-top/p/465833732_yellow?,
Infants All-Over Print Round-Neck T-Shirt,129,N/A,https://www.ajio.com/fashion-world-infants-all-over-print-round-neck-t-shirt/p/420503039_white?,
Women Printed Relaxed Fit Shirt,407,49%,https://www.ajio.com/fig-women-printed-relaxed-fit-shirt/p/443063040_blue?,
Women Striped Loose Fit Top,1450,50%,https://www.ajio.com/aarke-ritu-kumar-women-striped-loose-fit-top/p/410371751_yellow?,
Women Embroidery Top,290,71%,https://www.ajio.com/birampuria-designer-studio-women-embroidery-top/p/701171330_white?,
Girls Floral Embroidered Regular Fit Top,305,49%,https://www.ajio.com/inf-frendz-girls-floral-embroidered-regular-fit-top/p/443065898_offwhite?,
Women Textured High-Neck Top,413,31%,https://www.ajio.com/max-women-textured-high-neck-top/p/700210905_grey?,
Women Striped Fitted Crop Top,203,49%,https://www.ajio.com/teamspirit-women-striped-fitted-crop-top/p/443061175_ltblue?,
Women Striped Relaxed Fit Shirt,356,49%,https://www.ajio.com/siyahi-women-striped-relaxed-fit-shirt/p/443065075_indigo?,
Printed Top with Camisole,1450,50%,https://www.ajio.com/aarke-ritu-kumar-printed-top-with-camisole/p/410445504_fuschia?,
Women Floral Print Tiered Tunic,458,49%,https://www.ajio.com/fusion-women-floral-print-tiered-tunic/p/443060680_darkpink?,
Infants Graphic Print Round-Neck T-Shirt,129,N/A,https://www.ajio.com/fashion-world-infants-graphic-print-round-neck-t-shirt/p/420503028_cream?,
Women Keyhole Round-Neck Relaxed Fit Top,719,10%,https://www.ajio.com/max-women-keyhole-round-neck-relaxed-fit-top/p/700556734_black?,
Women Slim Fit Boat-Neck Top,320,60%,https://www.ajio.com/buda-jeans-co-women-slim-fit-boat-neck-top/p/469734217_black?,
Unisex School Logo Embroidered Shirt,699,N/A,https://www.ajio.com/nmajs-unisex-school-logo-embroidered-shirt/p/410478388_white?,
Women Embroidered Tube Crop Top,699,N/A,https://www.ajio.com/max-women-embroidered-tube-crop-top/p/701329902_beige?,
Infants Graphic Print Round-Neck T-Shirt,129,N/A,https://www.ajio.com/fashion-world-infants-graphic-print-round-neck-t-shirt/p/420503032_yellow?,
Printed Rayon Tunic,549,21%,https://www.ajio.com/max-printed-rayon-tunic/p/465756745_green?,
Loose Fit Printed Top,1100,50%,https://www.ajio.com/aarke-ritu-kumar-loose-fit-printed-top/p/410445502_brown?,
Women Embroidered Regular Fit Top,270,73%,https://www.ajio.com/palsiya-presents-women-embroidered-regular-fit-top/p/701407212_black?,
Women Fitted Blouse Top,200,80%,https://www.ajio.com/maheshvi-women-fitted-blouse-top/p/701089024_black?,
Relaxed Fit Swiss-Dot Peplum Top with Camisole,1350,70%,https://www.ajio.com/label-ritu-kumar-relaxed-fit-swiss-dot-peplum-top-with-camisole/p/410333507_lilac?,
Women Ribbed Fitted Top,210,79%,https://www.ajio.com/maheshvi-women-ribbed-fitted-top/p/701767574_green?,
Women Regular Fit Floral Print Top,444,73%,https://www.ajio.com/leia-women-regular-fit-floral-print-top/p/701600865_white?,
Tie & Dye Crop Top with Short Sleeves,418,62%,https://www.ajio.com/li-l-tomatoes-tie--dye-crop-top-with-short-sleeves/p/465833659_lavender?,
Women Printed Regular Fit Top,195,85%,https://www.ajio.com/leia-women-printed-regular-fit-top/p/701733041_red?,
Women Floral Print Regular Fit Top,754,65%,https://www.ajio.com/quiero-women-floral-print-regular-fit-top/p/701383282_brown?,
Printed Round-Neck Top with Half Sleeves,1200,50%,https://www.ajio.com/aarke-ritu-kumar-printed-round-neck-top-with-half-sleeves/p/410445505_yellow?,
Women Regular Fit Square-Neck Top,210,79%,https://www.ajio.com/maheshvi-women-regular-fit-square-neck-top/p/701767574_coffee?,
Women Geometric Print Top,580,71%,https://www.ajio.com/fery-london-women-geometric-print-top/p/700955943_offwhite?,
Girls Printed Frill-Trimmed Vest Top,599,N/A,https://www.ajio.com/h-m-girls-printed-frill-trimmed-vest-top/p/700380420_turquoise?,
Women Printed Regular Fit Top,300,70%,https://www.ajio.com/bollyclues-women-printed-regular-fit-top/p/701499194_green?,
Girls Pack of 2 Regular Fit Tunic,363,72%,https://www.ajio.com/dawinar-girls-pack-of-2-regular-fit-tunic/p/701752604_multi?,
Floral Print Top,1300,50%,https://www.ajio.com/aarke-ritu-kumar-floral-print-top/p/410371754_pink?,
Women Striped Fitted Top,203,49%,https://www.ajio.com/teamspirit-women-striped-fitted-top/p/443061822_ltpink?,https://assets.ajio.com/medias/sys_master/root/20250616/cMTj/685010f655340d4b4fb5a325/teamspirit_white_women_striped_fitted_top.jpg
Women Embroidery Relaxed Fit Shirt,625,75%,https://www.ajio.com/nyrika-women-embroidery-relaxed-fit-shirt-/p/701623433_offwhite?,https://assets.ajio.com/medias/sys_master/root/20250527/8dP4/6835f25555340d4b4f614758/nyrika_off_white_women_embroidery_relaxed_fit_shirt.jpg
Women Regular Fit Floral Top,382,73%,https://www.ajio.com/leia-women-regular-fit-floral-top/p/701588198_white?,https://assets.ajio.com/medias/sys_master/root/20250519/vsDZ/682b15e27a6cd4182f39bc1d/leia_white_women_regular_fit_floral_top.jpg
Infants All-Over Print Round-Neck T-Shirt,129,N/A,https://www.ajio.com/fashion-world-infants-all-over-print-round-neck-t-shirt/p/420503046_white?,https://assets.ajio.com/medias/sys_master/root/20250612/5Ode/684ae59b55340d4b4fa5ee5f/fashion_world_white_%26_yellow_infants_all-over_print_round-neck_t-shirt.jpg
Women Ribbed V-Neck Relaxed Fit Top,407,49%,https://www.ajio.com/fig-women-ribbed-v-neck-relaxed-fit-top/p/443061237_black?,https://assets.ajio.com/medias/sys_master/root/20241230/9qtD/67724c48c148fa1b3068a264/fig_black_women_ribbed_v-neck_relaxed_fit_top.jpg
Printed Top with Camisole,1450,50%,https://www.ajio.com/aarke-ritu-kumar-printed-top-with-camisole/p/410445504_green?,https://assets.ajio.com/medias/sys_master/root/20240504/2z4S/66364fd205ac7d77bb3f34f9/aarke_ritu_kumar_green_printed_top_with_camisole.jpg
Unisex Relaxed Fit Full-Sleeve Shirt,899,N/A,https://www.ajio.com/dhirubhai-ambani-int-school-unisex-relaxed-fit-full-sleeve-shirt/p/410479914_white?,
Women Floral Regular Fit Top,290,71%,https://www.ajio.com/nantan-women-floral-regular-fit-top/p/701321642_pink?,
Stripes Stylised Fit Top,413,31%,https://www.ajio.com/max-stripes-stylised-fit-top/p/701264820_offwhite?,
Women Relaxed Fit Top with Balloon Sleeves,407,49%,https://www.ajio.com/fig-women-relaxed-fit-top-with-balloon-sleeves/p/443066084_pink?,
Infants Graphic Print Round-Neck T-Shirt,129,N/A,https://www.ajio.com/fashion-world-infants-graphic-print-round-neck-t-shirt/p/420503030_white?,
Typographic Print Round-Neck Top,437,62%,https://www.ajio.com/li-l-tomatoes-typographic-print-round-neck-top/p/465833732_yellow?,
Infants All-Over Print Round-Neck T-Shirt,129,N/A,https://www.ajio.com/fashion-world-infants-all-over-print-round-neck-t-shirt/p/420503039_white?,
Women Printed Relaxed Fit Shirt,407,49%,https://www.ajio.com/fig-women-printed-relaxed-fit-shirt/p/443063040_blue?,
Women Striped Loose Fit Top,1450,50%,https://www.ajio.com/aarke-ritu-kumar-women-striped-loose-fit-top/p/410371751_yellow?,
Women Embroidery Top,290,71%,https://www.ajio.com/birampuria-designer-studio-women-embroidery-top/p/701171330_white?,
Girls Floral Embroidered Regular Fit Top,305,49%,https://www.ajio.com/inf-frendz-girls-floral-embroidered-regular-fit-top/p/443065898_offwhite?,
Women Textured High-Neck Top,413,31%,https://www.ajio.com/max-women-textured-high-neck-top/p/700210905_grey?,
Women Striped Fitted Crop Top,203,49%,https://www.ajio.com/teamspirit-women-striped-fitted-crop-top/p/443061175_ltblue?,
Women Striped Relaxed Fit Shirt,356,49%,https://www.ajio.com/siyahi-women-striped-relaxed-fit-shirt/p/443065075_indigo?,
Printed Top with Camisole,1450,50%,https://www.ajio.com/aarke-ritu-kumar-printed-top-with-camisole/p/410445504_fuschia?,
Women Floral Print Tiered Tunic,458,49%,https://www.ajio.com/fusion-women-floral-print-tiered-tunic/p/443060680_darkpink?,
Infants Graphic Print Round-Neck T-Shirt,129,N/A,https://www.ajio.com/fashion-world-infants-graphic-print-round-neck-t-shirt/p/420503028_cream?,
Women Keyhole Round-Neck Relaxed Fit Top,719,10%,https://www.ajio.com/max-women-keyhole-round-neck-relaxed-fit-top/p/700556734_black?,
Women Slim Fit Boat-Neck Top,320,60%,https://www.ajio.com/buda-jeans-co-women-slim-fit-boat-neck-top/p/469734217_black?,
Unisex School Logo Embroidered Shirt,699,N/A,https://www.ajio.com/nmajs-unisex-school-logo-embroidered-shirt/p/410478388_white?,
Women Embroidered Tube Crop Top,699,N/A,https://www.ajio.com/max-women-embroidered-tube-crop-top/p/701329902_beige?,
Infants Graphic Print Round-Neck T-Shirt,129,N/A,https://www.ajio.com/fashion-world-infants-graphic-print-round-neck-t-shirt/p/420503032_yellow?,
Printed Rayon Tunic,549,21%,https://www.ajio.com/max-printed-rayon-tunic/p/465756745_green?,
Loose Fit Printed Top,1100,50%,https://www.ajio.com/aarke-ritu-kumar-loose-fit-printed-top/p/410445502_brown?,
Women Embroidered Regular Fit Top,270,73%,https://www.ajio.com/palsiya-presents-women-embroidered-regular-fit-top/p/701407212_black?,
Women Fitted Blouse Top,200,80%,https://www.ajio.com/maheshvi-women-fitted-blouse-top/p/701089024_black?,
Relaxed Fit Swiss-Dot Peplum Top with Camisole,1350,70%,https://www.ajio.com/label-ritu-kumar-relaxed-fit-swiss-dot-peplum-top-with-camisole/p/410333507_lilac?,
Women Ribbed Fitted Top,210,79%,https://www.ajio.com/maheshvi-women-ribbed-fitted-top/p/701767574_green?,
Women Regular Fit Floral Print Top,444,73%,https://www.ajio.com/leia-women-regular-fit-floral-print-top/p/701600865_white?,
Tie & Dye Crop Top with Short Sleeves,418,62%,https://www.ajio.com/li-l-tomatoes-tie--dye-crop-top-with-short-sleeves/p/465833659_lavender?,
Women Printed Regular Fit Top,195,85%,https://www.ajio.com/leia-women-printed-regular-fit-top/p/701733041_red?,
Women Floral Print Regular Fit Top,754,65%,https://www.ajio.com/quiero-women-floral-print-regular-fit-top/p/701383282_brown?,
Printed Round-Neck Top with Half Sleeves,1200,50%,https://www.ajio.com/aarke-ritu-kumar-printed-round-neck-top-with-half-sleeves/p/410445505_yellow?,
Women Regular Fit Square-Neck Top,210,79%,https://www.ajio.com/maheshvi-women-regular-fit-square-neck-top/p/701767574_coffee?,
Women Geometric Print Top,580,71%,https://www.ajio.com/fery-london-women-geometric-print-top/p/700955943_offwhite?,
Girls Printed Frill-Trimmed Vest Top,599,N/A,https://www.ajio.com/h-m-girls-printed-frill-trimmed-vest-top/p/700380420_turquoise?,
Women Printed Regular Fit Top,300,70%,https://www.ajio.com/bollyclues-women-printed-regular-fit-top/p/701499194_green?,
Girls Pack of 2 Regular Fit Tunic,363,72%,https://www.ajio.com/dawinar-girls-pack-of-2-regular-fit-tunic/p/701752604_multi?,
Floral Print Top,1300,50%,https://www.ajio.com/aarke-ritu-kumar-floral-print-top/p/410371754_pink?,
